CHART_ID,SONG_ID,POSITION,STREAMS
regional-uy-weekly-2021-12-23,6UelLqGlWMcVH1E5c4H7lY,196.0,17597
regional-de-weekly-2021-03-04,4i2qxFEVVUi8yOYoxB8TCX,200.0,391431
regional-hn-weekly-2021-12-23,5YJ4BVvTFmVCxUyhKejHfR,66.0,23035
regional-de-weekly-2021-05-20,2QuQkdLLzgktXwruPAz6f4,61.0,827815
regional-de-weekly-2021-10-28,6Ey7KSTV0Zx0fnxOw6bdK8,56.0,809172
regional-de-weekly-2021-09-09,3hxJ3qXqg8ysYBF1QmO8Ir,10.0,2331615
regional-de-weekly-2021-02-04,2mrH3iI956l3pColT6oEZn,172.0,411875
regional-de-weekly-2021-09-23,0mJBiaODgK0XjOLCN5fItq,72.0,692327
regional-cl-weekly-2021-12-23,20on25jryn53hWghthWWW3,115.0,297660
regional-pt-weekly-2021-12-23,0WmSoWksyfhCME62WhkP2U,84.0,63702
regional-co-weekly-2021-12-23,0bI7K9Becu2dtXK1Q3cZNB,80.0,147576
regional-kr-weekly-2021-12-23,4XI5Kdm1zdSFxdIGd9xUVT,58.0,20330
regional-lt-weekly-2021-12-23,1DIXPcTDzTj8ZMHt3PDt8p,160.0,9135
regional-de-weekly-2021-11-18,2NkKIjlfLa9o9Yfsq2tl99,21.0,1453264
regional-hu-weekly-2021-12-23,5PjdY0CKGZdEuoNab3yDmX,27.0,110489
regional-de-weekly-2021-12-23,2L9QLAhrvtP4EYg1lY0Tnw,63.0,1146961
regional-de-weekly-2021-06-10,5afmVzxz4UwrFfnJeijzVK,90.0,630237
regional-sg-weekly-2021-12-23,2zrhoHlFKxFTRF5aMyxMoQ,173.0,44085
regional-de-weekly-2021-03-25,2QuQkdLLzgktXwruPAz6f4,24.0,1421740
regional-my-weekly-2021-12-23,2zrhoHlFKxFTRF5aMyxMoQ,129.0,62237
regional-my-weekly-2021-12-23,6tjituizSxwSmBB5vtgHZE,111.0,66316
regional-de-weekly-2021-04-22,3IjfWBZrBISpcLhIMY44T6,69.0,704026
regional-br-weekly-2021-12-23,6giaOyDFbE4J8iclhCdW7E,138.0,1006557
regional-tr-weekly-2021-12-23,17MzeMBa6mWeY30BWYW8dd,198.0,255614
regional-bo-weekly-2021-12-23,5PjdY0CKGZdEuoNab3yDmX,37.0,48414
regional-tw-weekly-2021-12-23,4cSCMlCcY65zlz1ZPhqsCe,44.0,125985
regional-de-weekly-2021-04-01,6cx06DFPPHchuUAcTxznu9,24.0,1469832
regional-de-weekly-2021-01-21,4pBhTGnL5N5KqsyqU58jee,193.0,391264
regional-ee-weekly-2021-12-23,4so0Wek9Ig1p6CRCHuINwW,47.0,11944
regional-de-weekly-2021-06-10,6ft4hAq6yde8jPZY2i5zLr,69.0,767251
regional-at-weekly-2021-12-23,46OCZYetGZYSxpKRJ8epzp,45.0,118981
regional-de-weekly-2021-07-01,2qpZjutAe3pstQsjwSXQb4,162.0,441585
regional-my-weekly-2021-12-23,161DnLWsx1i3u1JT05lzqU,73.0,84678
regional-pa-weekly-2021-12-23,6b2HYgqcK9mvktt4GxAu72,80.0,20648
regional-pa-weekly-2021-12-23,1SC5rEoYDGUK4NfG82494W,94.0,18584
regional-de-weekly-2021-03-25,3eekarcy7kvN4yt5ZFzltW,190.0,410413
regional-uy-weekly-2021-12-23,0KvtuCa8aGD8SR39aLLLj5,59.0,41428
regional-de-weekly-2021-09-09,3DarAbFujv6eYNliUTyqtz,101.0,621854
regional-ee-weekly-2021-12-23,3TKhfQOOHtA7QNtoju4cXn,183.0,5981
regional-de-weekly-2021-10-14,54mztWQ0VfH2pqw0jRROZC,61.0,775213
regional-de-weekly-2021-04-08,7M4zWJmzuf8aZ2aEQUnzU3,192.0,374711
regional-de-weekly-2021-02-18,3ipliatTDndCmnYGaNiAbI,55.0,746284
regional-sg-weekly-2021-12-23,0u2P5u6lvoDfwTYjAADbn4,190.0,42177
regional-lu-weekly-2021-12-23,0tXPhc8LvM4dPvoRwI66XQ,119.0,4428
regional-de-weekly-2021-05-20,5TGcyccg8Hkgn9jB7gUpMN,167.0,418081
regional-de-weekly-2021-03-18,6QVxJg8q95hEuPgNRb56jK,147.0,447361
regional-de-weekly-2021-03-18,7FdUvDkaE24o3FPIWTvzv2,105.0,562378
regional-de-weekly-2021-10-28,4RVwu0g32PAqgUiJoXsdF8,78.0,638551
regional-de-weekly-2021-12-23,7uoFMmxln0GPXQ0AcCBXRq,8.0,2791519
regional-no-weekly-2021-12-23,0lLdorYw7lVrJydTINhWdI,3.0,993770
regional-de-weekly-2021-01-21,3Ytz5A43UbLUfUunbhjOAq,162.0,431766
regional-gb-weekly-2021-12-23,2SBr3MK1sdMs8IxdRcN6qz,37.0,1485363
regional-it-weekly-2021-12-23,4bQFspp8Feaj1wEPsysGLZ,64.0,601184
regional-ro-weekly-2021-12-23,7Enmh2pt5fiYgoNlbzK70K,125.0,24923
regional-de-weekly-2021-01-07,1FP9s72rDYty6mfoOEYKnE,8.0,1443950
regional-ni-weekly-2021-12-23,059bcIhyc2SBwm6sw2AZzd,200.0,8018
regional-in-weekly-2021-12-23,4uLG79ROWYEXx1kJvDVbWI,42.0,924567
regional-is-weekly-2021-12-23,2pnPe4pJtq7689i5ydzvJJ,170.0,8246
regional-de-weekly-2021-06-10,79lc69ZXfL4WmJIzVSDmWT,11.0,2007605
regional-be-weekly-2021-12-23,5JBtWpLoGO62gb5vax505b,,81118
regional-de-weekly-2021-12-30,1SOClUWhOi8vHZYMz3GluK,59.0,1174063
regional-ma-weekly-2021-12-23,2QjOHCTQ1Jl3zawyYOpxh6,197.0,12375
regional-mx-weekly-2021-12-23,4HzqWEdAbzcVFDv0pvxV4w,20.0,2245437
regional-de-weekly-2021-07-29,0939D7aT18uBDS2MTjWzct,197.0,396416
regional-sg-weekly-2021-12-23,6LnEoRQKMcaFTR5UvaKuBy,167.0,44745
regional-de-weekly-2021-09-02,4jPy3l0RUwlUI9T5XHBW2m,101.0,554423
regional-hn-weekly-2021-12-23,4OwhwvKESFtuu06dTgct7i,51.0,27173
regional-de-weekly-2021-10-28,6G2xXQRSZlEzYsUEb3uvuR,139.0,452429
regional-de-weekly-2021-06-10,63bWXWGcWnRQvdS8bJWdkB,94.0,618473
regional-th-weekly-2021-12-23,6rVCUwfnuYTAsX4P9fIdIu,67.0,111485
regional-tr-weekly-2021-12-23,1SC5rEoYDGUK4NfG82494W,178.0,269751
regional-de-weekly-2021-06-10,20McUFi8KCIVdNDLrkTDuZ,117.0,551955
regional-ch-weekly-2021-12-23,4fouWK6XVHhzl78KzQ1UjL,3.0,291715
regional-es-weekly-2021-12-23,2vmfvSoZBFAt9hhRoEByLi,25.0,1136533
regional-de-weekly-2021-04-08,4iJyoBOLtHqaGxP12qzhQI,2.0,3212635
regional-bg-weekly-2021-12-23,2XmIhhtxgfZqPISZXmFFK7,115.0,8040
regional-de-weekly-2021-02-04,20McUFi8KCIVdNDLrkTDuZ,23.0,1322797
regional-de-weekly-2021-11-25,1DIXPcTDzTj8ZMHt3PDt8p,169.0,455456
regional-de-weekly-2021-07-22,2qa4plPe9puo6TUIP3uKWT,161.0,463641
regional-no-weekly-2021-12-23,5aasUgkPxYhqKcxmNLotmH,30.0,421722
regional-hu-weekly-2021-12-23,6Uj1ctrBOjOas8xZXGqKk4,82.0,56674
regional-de-weekly-2021-12-16,5XM67HdnPub0nMDqJEUPdy,102.0,681846
regional-de-weekly-2021-11-18,3XpEKPj7KZt0yYWd7PQf5d,165.0,416349
regional-id-weekly-2021-12-23,35mvY5S1H3J2QZyna3TFe0,194.0,247220
regional-is-weekly-2021-12-23,1IcR6RlgvDczfvoWJSSY2A,13.0,36043
regional-bg-weekly-2021-12-23,7hxHWCCAIIxFLCzvDgnQHX,103.0,8311
regional-do-weekly-2021-12-23,09gysnJpfQ3ublBmJDfcEC,167.0,16738
regional-de-weekly-2021-05-13,4Lt6GXGzYsa1tgkv3nGSTm,54.0,899733
regional-se-weekly-2021-12-23,3QiAAp20rPC3dcAtKtMaqQ,87.0,291128
regional-lu-weekly-2021-12-23,2WYpG3Kv1xRTqMSNXVOpAN,100.0,4799
regional-de-weekly-2021-04-15,7lPN2DXiMsVn7XUKtOW1CS,32.0,1182023
regional-de-weekly-2021-11-18,5JBtWpLoGO62gb5vax505b,54.0,844802
regional-nz-weekly-2021-12-23,5UFjc1THXKIRYcMWihvNm0,100.0,74667
regional-pl-weekly-2021-12-23,0IiNfOoR2hkB0FznzscP5T,101.0,357009
regional-de-weekly-2021-08-05,73St8gq95zVdB2E2MEh7PH,142.0,441245
regional-ch-weekly-2021-12-23,1m0UFnuTktOkksvjbF9z0m,155.0,54267
regional-se-weekly-2021-12-23,7rwijx2xejRaPkEXUftI11,24.0,710030
regional-sv-weekly-2021-12-23,69vlMrzHwATKzupwNcUPyK,22.0,53915
regional-de-weekly-2021-12-09,2SBr3MK1sdMs8IxdRcN6qz,74.0,819589
regional-ar-weekly-2021-12-23,0dOdaCeCmUYSqHWjnpLIa9,51.0,652777
regional-do-weekly-2021-12-23,35wvL50xvKpCHEJPxLOLPI,78.0,25067
regional-gr-weekly-2021-12-23,1kyu3bq5O9hpAHQPDvX31M,52.0,74150
regional-pt-weekly-2021-12-23,2QLbRVzixE282JSQjBz2DG,72.0,67500
regional-de-weekly-2021-01-07,5qYf19BLOheApfe6NqhDPg,90.0,513418
regional-de-weekly-2021-09-09,3Vi5XqYrmQgOYBajMWSvCi,44.0,967382
regional-de-weekly-2021-06-10,4UOXo3xWnxYdTf3sFyRaUG,188.0,389525
regional-cr-weekly-2021-12-23,63bmZnBN1CiJ9sA4qTEe8y,47.0,57729
regional-ca-weekly-2021-12-23,7sMBvZCSUl99bJLXZaLa0b,98.0,414919
regional-ca-weekly-2021-12-23,2O3MQ6H3gjrIWDcpeTrikT,109.0,386253
regional-de-weekly-2021-04-15,2f0pn9DkEJwAzXApnFh5cr,181.0,396923
regional-cz-weekly-2021-12-23,46IZ0fSY2mpAiktS3KOqds,35.0,123948
regional-fi-weekly-2021-12-23,2vXKRlJBXyOcvZYTdNeckS,172.0,49490
regional-de-weekly-2021-07-29,37BZB0z9T8Xu7U3e65qxFy,82.0,640829
regional-ae-weekly-2021-12-23,4cG7HUWYHBV6R6tHn1gxrl,178.0,9761
regional-se-weekly-2021-12-23,4PS1e8f2LvuTFgUs1Cn3ON,42.0,462935
regional-cl-weekly-2021-12-23,0aZnyTWJNgdzYoOiaW8HKG,160.0,236571
regional-hu-weekly-2021-12-23,2gmImsycwj59cL8lykXx0i,58.0,69068
regional-de-weekly-2021-06-03,2tnVG71enUj33Ic2nFN6kZ,145.0,521599
regional-cy-weekly-2021-12-23,6I3mqTwhRpn34SLVafSH7G,98.0,4589
regional-de-weekly-2021-09-02,6i7zAdNhzUN2k1HcrBxPHG,108.0,536752
regional-es-weekly-2021-12-23,1rxX4SkYDqluMJcYSijMSH,88.0,469896
regional-lu-weekly-2021-12-23,2s1lS0DxcxTB8Y6oFgVKqW,196.0,3346
regional-ee-weekly-2021-12-23,4RVwu0g32PAqgUiJoXsdF8,88.0,8491
regional-hk-weekly-2021-12-23,6zUorK8AdoEQXXTpjS11BK,100.0,40748
regional-ch-weekly-2021-12-23,4jPy3l0RUwlUI9T5XHBW2m,142.0,57483
regional-de-weekly-2021-12-23,6hw1Sy9wZ8UCxYGdpKrU6M,121.0,691592
regional-sa-weekly-2021-12-23,5D2L026JQTKC2gcq3qkYpj,51.0,27225
regional-de-weekly-2021-10-28,6cx06DFPPHchuUAcTxznu9,115.0,501502
regional-sk-weekly-2021-12-23,3eJH2nAjvNXdmPfBkALiPZ,159.0,20385
regional-sa-weekly-2021-12-23,5ihud1HlQGEy2JaZgFCsFE,179.0,13902
regional-de-weekly-2021-01-28,30bqVoKjX479ab90a8Pafp,92.0,568780
regional-br-weekly-2021-12-23,3tEaSuDA0eWnIF8ari2Xly,82.0,1432961
regional-sk-weekly-2021-12-23,4NmvfydJqm7Nr4u0MwwVgv,93.0,35361
regional-do-weekly-2021-12-23,26QApq0cuO9brJigr0C0W4,86.0,24073
regional-de-weekly-2021-02-11,67hbP9PFQZrb4XZc3TzB0s,175.0,391869
regional-de-weekly-2021-12-02,2EjXfH91m7f8HiJN1yQg97,49.0,1091617
regional-de-weekly-2021-12-16,5QO79kh1waicV47BqGRL3g,177.0,483798
regional-pt-weekly-2021-12-23,1OjAoIz5Gl36rzm9RKEQeG,159.0,44894
regional-de-weekly-2021-09-16,2HSmyk2qMN8WQjuGhaQgCk,134.0,465651
regional-ua-weekly-2021-12-23,1GOiMxQXZUzjzH0Sxpck0B,68.0,48949
regional-de-weekly-2021-02-25,6bM4daGlfZHtKMQp8tEqVz,155.0,472061
regional-de-weekly-2021-04-01,6f3Slt0GbA2bPZlz0aIFXN,9.0,2225047
regional-sk-weekly-2021-12-23,2Jh2xFTzFp2U8xqDv31xjh,71.0,47855
regional-is-weekly-2021-12-23,2Xr1dTzJee307rmrkt8c0g,144.0,9510
regional-py-weekly-2021-12-23,5jW3rF4URMdK7tO2xjS5EI,119.0,40063
regional-ca-weekly-2021-12-23,2Xr1dTzJee307rmrkt8c0g,88.0,430504
regional-cl-weekly-2021-12-23,2DEZmgHKAvm41k4J3R2E9Y,162.0,231842
regional-bo-weekly-2021-12-23,6P096SaOzrgGxs8NWOfX7M,11.0,81518
regional-cy-weekly-2021-12-23,2OHRc3BN8NDZ6j2sCleBp4,42.0,7277
regional-sv-weekly-2021-12-23,0eu4C55hL6x29mmeAjytzC,105.0,26364
regional-de-weekly-2021-07-22,7mrWTjhYctgEQb0lJKrVWy,164.0,460680
regional-de-weekly-2021-10-21,0CAfXk7DXMnon4gLudAp7J,186.0,384639
regional-nl-weekly-2021-12-23,2USlegnFJLrVLpoVfPimKB,22.0,883943
regional-th-weekly-2021-12-23,1LPSkqVhWVRUkKE03YUkpB,57.0,126299
regional-de-weekly-2021-04-29,58GxgFEG5uHc9oMhofuuIP,18.0,1391923
regional-ma-weekly-2021-12-23,5oCWr6I9ikLYpx2p2Kcwh7,178.0,13398
regional-de-weekly-2021-05-13,6zFMeegAMYQo0mt8rXtrli,142.0,467559
regional-de-weekly-2021-09-23,7DAwoiyKRNeS25oqvGk5lQ,48.0,926719
regional-vn-weekly-2021-12-23,5xDrO9DEDJGUQGfyoHvgDJ,177.0,36854
regional-de-weekly-2021-12-23,2H7jZg2HliuQhZjfBblLrZ,69.0,1075649
regional-il-weekly-2021-12-23,4NBMvQX5yM05Mgznqw0zXR,167.0,29525
regional-my-weekly-2021-12-23,2gpWyfu7eZ01zzncHpxOtA,198.0,47460
regional-de-weekly-2021-02-04,4hSJUp6k7QeHLxU32MrLIU,1.0,4901323
regional-gr-weekly-2021-12-23,2EjXfH91m7f8HiJN1yQg97,50.0,78456
regional-de-weekly-2021-09-30,60a0Rd6pjrkxjPbaKzXjfq,132.0,471571
regional-ar-weekly-2021-12-23,6ySWtyMprBb1YX8WAAuFBs,167.0,276646
regional-id-weekly-2021-12-23,5ajjAnNRh8bxFvaVHzpPjh,27.0,1000999
regional-bo-weekly-2021-12-23,7hU3IHwjX150XLoTVmjD0q,88.0,25992
regional-de-weekly-2021-05-06,1EHUQesfVKwbthtNcpBi9g,88.0,701688
regional-de-weekly-2021-11-25,1YRaS0rNK8y9E5NeTrKe03,105.0,644775
regional-de-weekly-2021-06-03,2u8AXJyk8pICzj2wyPBL0b,195.0,407188
regional-de-weekly-2021-08-26,6a3kNt1UlUOapDKmEr3JzZ,48.0,921750
regional-ec-weekly-2021-12-23,4bF2y8rR7GUjrd5LNEvej3,48.0,94016
regional-fi-weekly-2021-12-23,1TiAWjlhU7ZEEEM4nTqT8i,188.0,48267
regional-de-weekly-2021-04-15,4saklk6nie3yiGePpBwUoc,189.0,389375
regional-no-weekly-2021-12-23,3rmo8F54jFF8OgYsqTxm5d,59.0,231341
regional-cy-weekly-2021-12-23,4MrfQL4TYQXJBlZYpAHTuE,184.0,3391
regional-ca-weekly-2021-12-23,5QO79kh1waicV47BqGRL3g,197.0,256333
regional-de-weekly-2021-07-15,27OeeYzk6klgBh83TSvGMA,91.0,604546
regional-my-weekly-2021-12-23,2LBqCSwhJGcFQeTHMVGwy3,81.0,80735
regional-se-weekly-2021-12-23,05EYpBRkK8LXUDhwdAhY0f,126.0,223099
regional-ee-weekly-2021-12-23,47ohYW8e7dxCYn9qbUMBCI,103.0,7809
regional-de-weekly-2021-08-19,40uMIn2zJLAQhNXghRjBed,111.0,507502
regional-pe-weekly-2021-12-23,6D2TCm4nf5nxAcdGJ7w3QP,12.0,429542
regional-lt-weekly-2021-12-23,2Y0iGXY6m6immVb2ktbseM,163.0,9030
regional-za-weekly-2021-12-23,5PQ89CWyL1abb0jv2bNFRn,36.0,53350
regional-de-weekly-2021-06-03,5SFXOMJJ334Wn2PwBHeRZN,42.0,1151413
regional-de-weekly-2021-10-07,5Z7J2Au61uO7K1ZPNG1eTv,49.0,961405
regional-de-weekly-2021-07-29,67lbzVADsqJJ6tyVk0XCgn,155.0,455636
regional-il-weekly-2021-12-23,0d1SYlJPC9ZiF9DKFS8ZnH,168.0,29443
regional-ee-weekly-2021-12-23,6OufwUcCqo81guU2jAlDVP,64.0,9692
regional-sg-weekly-2021-12-23,2uFaJJtFpPDc5Pa95XzTvg,51.0,88067
regional-ma-weekly-2021-12-23,5zme2KCwXAY9dhTsCNovJp,68.0,23074
regional-lt-weekly-2021-12-23,6Dy1jexKYriXAVG6evyUTJ,128.0,10242
regional-de-weekly-2021-07-01,5zohgCjZbTd40OhgezzFIO,70.0,757556
regional-de-weekly-2021-04-29,54AnAMobwJ5ElDCTcPFJk5,24.0,1272091
regional-id-weekly-2021-12-23,3afkJSKX0EAMsJXTZnDXXJ,70.0,490217
regional-tr-weekly-2021-12-23,6qkXhA5mVvG1DLyliRS1Yf,194.0,257631
regional-de-weekly-2021-10-28,3Vi5XqYrmQgOYBajMWSvCi,102.0,552432
regional-se-weekly-2021-12-23,1jiDCQUaa9LmWpQJRuOWRb,25.0,683308
regional-lu-weekly-2021-12-23,5nujrmhLynf4yMoMtj8AQF,81.0,5551
regional-ma-weekly-2021-12-23,3B4etxytImrRKQgV3XHjnR,159.0,14261
regional-de-weekly-2021-02-11,7HZMdCSq7oUYmn6OHU6kSB,42.0,880766
regional-cz-weekly-2021-12-23,39J34IzivGvEKtzIquuxJN,191.0,44517
regional-de-weekly-2021-05-13,3iw6V4LH7yPj1ESORX9RIN,15.0,1698582
regional-my-weekly-2021-12-23,1LPSkqVhWVRUkKE03YUkpB,54.0,104542
regional-de-weekly-2021-10-14,6PQ88X9TkUIAUIZJHW2upE,16.0,1929139
regional-lu-weekly-2021-12-23,1r9xUipOqoNwggBpENDsvJ,29.0,13459
regional-gt-weekly-2021-12-23,4CLkDJ4xLqkV4Vt2vPOny1,152.0,47460
regional-de-weekly-2021-10-14,2USlegnFJLrVLpoVfPimKB,96.0,578359
regional-nz-weekly-2021-12-23,7caFVygWyV6WfNcn5RrXDQ,88.0,82456
regional-ma-weekly-2021-12-23,3rrGXNKzqonETGM2APsjF7,76.0,22237
regional-de-weekly-2021-08-12,4Wuu6qS3D0Veevv2ZtbbrD,83.0,602553
regional-de-weekly-2021-08-05,0eZmBWVC1HYayrP2fqQ7nu,70.0,687912
regional-sk-weekly-2021-12-23,7rglLriMNBPAyuJOMGwi39,78.0,43677
regional-in-weekly-2021-12-23,3ShV5E92NCpxh2B4MXycxU,83.0,646586
regional-de-weekly-2021-04-29,1rgnBhdG2JDFTbYkYRZAku,97.0,560490
regional-de-weekly-2021-09-30,5fwSHlTEWpluwOM0Sxnh5k,32.0,1228426
regional-ie-weekly-2021-12-23,1olCzMxaeiQKNO64ssWVGr,181.0,51279
regional-sv-weekly-2021-12-23,4fouWK6XVHhzl78KzQ1UjL,125.0,23715
regional-de-weekly-2021-08-26,67BtfxlNbhBmCDR2L2l8qd,23.0,1317394
regional-at-weekly-2021-12-23,0nw16t4oMO94LFlZfQd6jC,112.0,62513
regional-de-weekly-2021-07-01,5Z8Dj3LtbyCMiwE86rhg2f,195.0,371584
regional-de-weekly-2021-02-11,4hSJUp6k7QeHLxU32MrLIU,1.0,3988637
regional-de-weekly-2021-07-22,5QO79kh1waicV47BqGRL3g,94.0,645839
regional-ma-weekly-2021-12-23,5ofWgZMhsgL70B1HtdTRwO,51.0,27152
regional-es-weekly-2021-12-23,0bI7K9Becu2dtXK1Q3cZNB,115.0,416494
regional-de-weekly-2021-01-28,0VpfrZqELaWqbGemlf0tTd,175.0,409429
regional-de-weekly-2021-07-01,0Cnb8XdGDMHAmIRBUJMkIS,159.0,445851
regional-id-weekly-2021-12-23,5QDLhrAOJJdNAmCTJ8xMyW,148.0,300349
regional-de-weekly-2021-07-22,74yp2FsqDdk5vX6au2du6G,188.0,416505
regional-ee-weekly-2021-12-23,0N8V0dzLLMLwoUKZss5sup,7.0,28253
regional-hu-weekly-2021-12-23,50nfwKoDiSYg8zOCREWAm5,43.0,80940
regional-lv-weekly-2021-12-23,1UJw8etddPmfRrjsATFsev,159.0,7820
regional-de-weekly-2021-09-09,5ZIFzmhVJRO3tRwtBXrPXh,80.0,713565
regional-cz-weekly-2021-12-23,37juTjuPcJj8fY5qePVOJ0,40.0,120100
regional-tr-weekly-2021-12-23,03LlyuzR1zbPjMypv1Y1rp,184.0,267456
regional-ee-weekly-2021-12-23,0247StOpd3AkeBQzANX4Zf,58.0,10301
regional-hn-weekly-2021-12-23,4fouWK6XVHhzl78KzQ1UjL,107.0,18397
regional-pa-weekly-2021-12-23,3DarAbFujv6eYNliUTyqtz,75.0,21063
regional-de-weekly-2021-04-22,7N06jo3EnV792VFaG8vuW6,151.0,438132
regional-de-weekly-2021-08-19,1c1sdxrYLIiuJOlE7PPttb,73.0,695976
regional-ie-weekly-2021-12-23,7zx1i0jGcFwMBurajgKlO7,121.0,71418
regional-th-weekly-2021-12-23,63VOJDNJ3a5dve74kzWVcF,5.0,377463
regional-de-weekly-2021-02-11,4Oun2ylbjFKMPTiaSbbCih,161.0,405719
regional-de-weekly-2021-04-29,51Of5p3lKZeOg6itfs4og4,79.0,625449
regional-de-weekly-2021-05-20,0VjIjW4GlUZAMYd2vXMi3b,55.0,868678
